week,complaints,discount_rate,small_commercial_event,medium_commercial_event,big_commercial_event
1/1/2018,"1750",0.3726,1,0,0
1/8/2018,"1701",0.3538,0,0,0
1/15/2018,"1711",0.3622,1,0,0
1/22/2018,"1443",0.3833,1,0,0
1/29/2018,"1397",0.3634,0,0,0
2/5/2018,"1477",0.3629,1,0,0
2/12/2018,"1261",0.3522,1,0,0
2/19/2018,"1165",0.3594,0,0,0
2/26/2018,"1179",0.2987,1,0,0
3/5/2018,"1140",0.2478,1,0,0
3/12/2018,"1232",0.2131,1,0,0
3/19/2018,"1298",0.2035,0,1,0
3/26/2018,"1077",0.2040,1,0,0
4/2/2018,"1333",0.2518,0,0,0
4/9/2018,"1765",0.2583,1,0,0
4/16/2018,"1806",0.2508,0,0,0
4/23/2018,"1615",0.2550,1,0,0
4/30/2018,"1477",0.2010,0,0,0
5/7/2018,"1601",0.2107,0,0,0
5/14/2018,"1733",0.2423,1,0,0
5/21/2018,"1498",0.2042,1,0,0
5/28/2018,"1575",0.2142,0,0,0
6/4/2018,"1675",0.2171,0,0,0
6/11/2018,"1598",0.2255,0,0,0
6/18/2018,"1610",0.2512,0,0,0
6/25/2018,"1746",0.3309,0,0,0
7/2/2018,"1957",0.3529,0,0,0
7/9/2018,"1992",0.3454,1,0,0
7/16/2018,"1966",0.3614,1,0,0
7/23/2018,"1655",0.3410,0,0,0
7/30/2018,"1719",0.3773,0,0,0
8/6/2018,"1430",0.3704,1,0,0
8/13/2018,"1262",0.4004,0,0,0
8/20/2018,"1431",0.3454,1,0,0
8/27/2018,"1447",0.2855,1,0,0
9/3/2018,"1350",0.2349,0,0,0
9/10/2018,"1345",0.2183,0,0,0
9/17/2018,"1424",0.1995,0,1,0
9/24/2018,"1400",0.2234,0,0,0
10/1/2018,"1592",0.2208,0,0,0
10/8/2018,"2018",0.2914,1,0,0
10/15/2018,"1961",0.2981,1,0,0
10/22/2018,"1717",0.2900,0,0,0
10/29/2018,"1673",0.2681,0,0,0
11/5/2018,"1665",0.2537,0,0,0
11/12/2018,"1795",0.2982,0,0,0
11/19/2018,"3277",0.3222,0,0,0
11/26/2018,"1647",0.2118,0,0,0
12/3/2018,"2100",0.2217,1,0,0
12/10/2018,"2544",0.2314,0,0,0
12/17/2018,"1778",0.2347,0,0,0
12/24/2018,"1348",0.3407,0,0,0
12/31/2018,"1761",0.3571,0,0,0
1/7/2019,"2255",0.3423,1,0,0
1/14/2019,"2023",0.3716,0,0,0
1/21/2019,"1732",0.3480,1,0,0
1/28/2019,"1663",0.3874,0,0,0
2/4/2019,"1667",0.3692,1,0,0
2/11/2019,"1507",0.3605,0,1,0
2/18/2019,"1313",0.3002,0,0,0
2/25/2019,"1240",0.2450,0,0,0
3/4/2019,"1431",0.2173,1,0,0
3/11/2019,"1410",0.1990,0,0,0
3/18/2019,"1558",0.2244,1,0,0
3/25/2019,"1612",0.2541,0,0,0
4/1/2019,"1962",0.2641,0,0,0
4/8/2019,"2129",0.2774,1,0,0
4/15/2019,"1698",0.2623,0,1,0
4/22/2019,"1325",0.2050,0,0,0
4/29/2019,"1604",0.2637,0,0,0
5/6/2019,"1645",0.2187,0,0,0
5/13/2019,"1851",0.2314,0,0,0
5/20/2019,"1836",0.2347,0,0,0
5/27/2019,"1735",0.2361,0,0,0
6/3/2019,"2152",0.2176,0,1,0
6/10/2019,"1852",0.2282,0,0,0
6/17/2019,"1835",0.2726,0,0,0
6/24/2019,"2015",0.3292,0,0,0
7/1/2019,"2329",0.3551,0,0,0
7/8/2019,"2338",0.3441,0,1,0
7/15/2019,"2132",0.3654,0,0,0
7/22/2019,"1966",0.3696,1,0,0
7/29/2019,"1812",0.3875,0,0,0
8/5/2019,"1737",0.4074,1,0,0
8/12/2019,"1374",0.4019,0,0,0
8/19/2019,"1498",0.3627,1,0,0
8/26/2019,"1684",0.3172,1,0,0
9/2/2019,"1536",0.2636,0,0,0
9/9/2019,"1523",0.2351,0,0,0
